ms12,ms16,r12,r16
Isolated parent,Isolated parent,48504.723,47967.445
Married or pacsed couple,Married or pacsed couple,19030.922,14061.154
Married or pacsed couple,Married or pacsed couple,33595.043,26690.047
Isolated parent,Isolated parent,32398.92,44647.891
Married or pacsed couple,Married or pacsed couple,46192.563,35718.309
Married or pacsed couple,Married or pacsed couple,61429.891,68849.664
Married or pacsed couple,Married or pacsed couple,33669.945,47241.926
Married or pacsed couple,Married or pacsed couple,42147.742,48909.313
Married or pacsed couple,Married or pacsed couple,46830.824,37663.551
Married or pacsed couple,Married or pacsed couple,31220.549,31247.01
Married or pacsed couple,Married or pacsed couple,38724.77,47241.039
Married or pacsed couple,Married or pacsed couple,28392.99,42858.523
Married or pacsed couple,Married or pacsed couple,46268.688,38269.613
Married or pacsed couple,Married or pacsed couple,33588.887,28315.383
Isolated parent,Isolated parent,18327.598,17185.855
Married or pacsed couple,Married or pacsed couple,38041.898,27948.174
Married or pacsed couple,Married or pacsed couple,15357.732,15117.134
Married or pacsed couple,Married or pacsed couple,69945.461,71843.125
Married or pacsed couple,Married or pacsed couple,39776.93,43372.23
Married or pacsed couple,Married or pacsed couple,31220.549,
Cohabitant,,20160.357,
Married or pacsed couple,Married or pacsed couple,50938.543,49392.148
Married or pacsed couple,Married or pacsed couple,68746.531,44717.082
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Married or pacsed couple,Married or pacsed couple,40586.711,39058.762
Married or pacsed couple,Married or pacsed couple,99217.766,127956.51
Married or pacsed couple,Married or pacsed couple,144829.97,
Married or pacsed couple,Married or pacsed couple,42176.539,41908.488
Married or pacsed couple,Married or pacsed couple,,15623.505
Isolated parent,Isolated parent,23825.877,30668.797
Married or pacsed couple,Married or pacsed couple,,64167.742
Married or pacsed couple,Isolated parent,24742.256,28171.895
Isolated parent,Isolated parent,12039.981,14504.538
Married or pacsed couple,Isolated parent,13467.979,19912.098
Married or pacsed couple,Married or pacsed couple,38493.809,34411.418
Married or pacsed couple,Married or pacsed couple,12959.568,31891.346
Married or pacsed couple,Married or pacsed couple,14313.459,27765.51
Married or pacsed couple,Married or pacsed couple,19875.094,11224.438
Married or pacsed couple,Married or pacsed couple,124321.23,6301.1797
Married or pacsed couple,Married or pacsed couple,28392.99,34935.219
Married or pacsed couple,Married or pacsed couple,86736.563,64167.742
Married or pacsed couple,Married or pacsed couple,35994.684,23620.52
Married or pacsed couple,Married or pacsed couple,53219.371,59869.273
Married or pacsed couple,Married or pacsed couple,46830.824,43581.441
Married or pacsed couple,Married or pacsed couple,13198.052,16264.506
Married or pacsed couple,Married or pacsed couple,19079.637,19609.289
Married or pacsed couple,Married or pacsed couple,16822.848,15650.979
Married or pacsed couple,Married or pacsed couple,32398.92,30615.693
Married or pacsed couple,Married or pacsed couple,108327.52,104771.22
Married or pacsed couple,Married or pacsed couple,50608.508,50649.559
Married or pacsed couple,Married or pacsed couple,44911.777,40170.688
Married or pacsed couple,Married or pacsed couple,49072.848,48722.051
Married or pacsed couple,Married or pacsed couple,23808.246,23435.258
Cohabitant,Cohabitant,12423.786,22068.813
Isolated parent,Isolated parent,15761.733,19844.516
Married or pacsed couple,Married or pacsed couple,23996.459,29525.65
Married or pacsed couple,Married or pacsed couple,31195.396,25982.57
Married or pacsed couple,Married or pacsed couple,68424.906,27817.574
Married or pacsed couple,Married or pacsed couple,41196.309,25153.357
Married or pacsed couple,Married or pacsed couple,16797.521,17795.369
Isolated parent,Married or pacsed couple,24917.055,36814.52
Married or pacsed couple,Married or pacsed couple,24864.754,31085.729
Married or pacsed couple,Married or pacsed couple,49949.285,50888.879
Married or pacsed couple,Married or pacsed couple,8634.458,9284.5596
Married or pacsed couple,Married or pacsed couple,57740.707,59051.301
Married or pacsed couple,Married or pacsed couple,16876.145,19844.516
Married or pacsed couple,Married or pacsed couple,46708.25,40183.023
Married or pacsed couple,Married or pacsed couple,25553.693,31870.115
Married or pacsed couple,Married or pacsed couple,33694.879,27429.328
Married or pacsed couple,Married or pacsed couple,42176.539,53577.461
Isolated parent,Isolated parent,18069.189,14821.759
Married or pacsed couple,Married or pacsed couple,95721.375,39422.563
Isolated parent,Cohabitant,12697.732,12237.422
Married or pacsed couple,Married or pacsed couple,37497.746,54736.254
Married or pacsed couple,Married or pacsed couple,43708.77,27765.51
Married or pacsed couple,Married or pacsed couple,53219.371,42627.84
Married or pacsed couple,Married or pacsed couple,15872.165,35934.063
Married or pacsed couple,Married or pacsed couple,60822.133,74836.594
Married or pacsed couple,Married or pacsed couple,56083.258,54135.617
Married or pacsed couple,Married or pacsed couple,43464.523,45064.598
Isolated parent,Isolated parent,32336.48,41114.953
Cohabitant,Isolated parent,68424.906,90366.352
Cohabitant,Cohabitant,45092.352,60902.57
Married or pacsed couple,Married or pacsed couple,22058.113,28122.309
Married or pacsed couple,Married or pacsed couple,27574.207,39061.898
Married or pacsed couple,Married or pacsed couple,,
Married or pacsed couple,Married or pacsed couple,32398.92,34442.652
Married or pacsed couple,Married or pacsed couple,60822.133,65856.195
Isolated parent,Isolated parent,22221.031,24997.609
Isolated parent,Married or pacsed couple,12528.73,26888.793
Married or pacsed couple,Married or pacsed couple,,14172.312
Married or pacsed couple,Married or pacsed couple,66134.773,56361.875
Married or pacsed couple,Married or pacsed couple,31220.549,21716.672
Married or pacsed couple,Married or pacsed couple,68424.906,48228.203
Married or pacsed couple,Married or pacsed couple,19793.9,25827.684
Married or pacsed couple,Married or pacsed couple,91233.211,89803.914
Married or pacsed couple,Married or pacsed couple,36454.117,35713.332
Married or pacsed couple,Married or pacsed couple,35832.656,44189.945
Married or pacsed couple,Married or pacsed couple,10581.443,19762.344
Isolated parent,Isolated parent,15465.717,21148.615
Married or pacsed couple,Married or pacsed couple,39509.59,39061.898
Married or pacsed couple,Isolated parent,35876.215,41114.953
Married or pacsed couple,Married or pacsed couple,75797.922,74610.445
Married or pacsed couple,Married or pacsed couple,37712.184,55508.355
Isolated parent,Isolated parent,48374.734,56533.059
Cohabitant,Cohabitant,42147.742,37739.758
Cohabitant,Cohabitant,43708.77,37739.758
Married or pacsed couple,Married or pacsed couple,48504.723,47895.418
Married or pacsed couple,Isolated parent,29995.572,25257.945
Married or pacsed couple,Married or pacsed couple,64503.945,59869.273
Married or pacsed couple,Married or pacsed couple,,45410.59
Married or pacsed couple,Married or pacsed couple,76027.672,86810.438
Married or pacsed couple,Married or pacsed couple,40586.711,43581.441
Isolated parent,Isolated parent,26269.293,40631.395
Married or pacsed couple,Married or pacsed couple,20756.938,3918.2751
Married or pacsed couple,Married or pacsed couple,,19490.637
Married or pacsed couple,Isolated parent,11686.457,33142.461
Married or pacsed couple,Married or pacsed couple,49072.848,87970.367
Cohabitant,Cohabitant,56083.258,60455.949
Married or pacsed couple,Married or pacsed couple,60822.133,59869.273
Isolated parent,Isolated parent,28743.537,19844.516
Married or pacsed couple,Married or pacsed couple,64961.934,49539.137
Married or pacsed couple,Married or pacsed couple,,11470.847
Married or pacsed couple,Married or pacsed couple,32247.871,34935.219
Married or pacsed couple,Married or pacsed couple,30880.447,40411.758
Married or pacsed couple,Married or pacsed couple,45768.594,44901.957
Married or pacsed couple,Married or pacsed couple,21294.744,30615.693
Married or pacsed couple,Married or pacsed couple,37464.66,48722.051
Married or pacsed couple,Married or pacsed couple,33649.953,41922.262
Married or pacsed couple,Married or pacsed couple,49072.848,54135.617
Married or pacsed couple,Married or pacsed couple,34342.605,21926.611
Married or pacsed couple,Married or pacsed couple,53279.09,56842.391
Married or pacsed couple,Married or pacsed couple,24844.676,51393.695
Married or pacsed couple,Married or pacsed couple,24062.203,41908.488
Married or pacsed couple,Married or pacsed couple,37194.508,19885.475
Isolated parent,Isolated parent,15872.165,21560.436
Cohabitant,Cohabitant,64156.344,23733.154
Married or pacsed couple,Married or pacsed couple,28392.99,34935.219
Married or pacsed couple,Married or pacsed couple,16240.791,16768.906
Married or pacsed couple,Married or pacsed couple,35052.039,39127.449
Married or pacsed couple,Married or pacsed couple,60822.133,70864.914
Married or pacsed couple,Married or pacsed couple,25196.279,39547.613
Married or pacsed couple,Married or pacsed couple,35927.551,38269.613
Married or pacsed couple,Isolated parent,26453.607,15466.482
Cohabitant,Cohabitant,51325.078,66316.133
Married or pacsed couple,Married or pacsed couple,71207.133,83816.977
Married or pacsed couple,Married or pacsed couple,49072.848,41922.262
Married or pacsed couple,Married or pacsed couple,51698.816,52385.609
Married or pacsed couple,Married or pacsed couple,48391.848,31870.115
Married or pacsed couple,Married or pacsed couple,49949.285,48228.203
Married or pacsed couple,Married or pacsed couple,,12625.167
Married or pacsed couple,Married or pacsed couple,49949.285,
Married or pacsed couple,Married or pacsed couple,,70864.914
Married or pacsed couple,Married or pacsed couple,32398.92,29052.1
Isolated parent,Cohabitant,16494.838,13458.362
Married or pacsed couple,Married or pacsed couple,66134.773,75377.414
Married or pacsed couple,Married or pacsed couple,46268.688,34935.219
Married or pacsed couple,Married or pacsed couple,60822.133,74836.594
Married or pacsed couple,Married or pacsed couple,45269.797,48909.313
Married or pacsed couple,Married or pacsed couple,,41811.879
Married or pacsed couple,Married or pacsed couple,42062.445,41922.262
Married or pacsed couple,Isolated parent,25919.137,31441.697
Married or pacsed couple,Married or pacsed couple,53219.371,52385.609
,Married or pacsed couple,,41811.879
Married or pacsed couple,Married or pacsed couple,35903.629,36332.629
Married or pacsed couple,Married or pacsed couple,36454.117,37739.758
Married or pacsed couple,Isolated parent,28392.99,18748.207
Married or pacsed couple,Married or pacsed couple,46556.809,55379.078
Married or pacsed couple,Married or pacsed couple,19394.664,7918.5024
Married or pacsed couple,Married or pacsed couple,21939.986,38269.613
Married or pacsed couple,Married or pacsed couple,30880.447,34935.219
Married or pacsed couple,Married or pacsed couple,32247.871,37739.758
Married or pacsed couple,Married or pacsed couple,,21762.172
Married or pacsed couple,Married or pacsed couple,30256.084,40621.113
Married or pacsed couple,Married or pacsed couple,116869.1,108271.23
Married or pacsed couple,Married or pacsed couple,61795.535,50649.559
Married or pacsed couple,Married or pacsed couple,14284.948,19563.725
Married or pacsed couple,Married or pacsed couple,129243.48,130308.36
Married or pacsed couple,Married or pacsed couple,63686.789,67669.516
Married or pacsed couple,Married or pacsed couple,17957.305,9367.0752
Married or pacsed couple,Married or pacsed couple,,38788.125
Married or pacsed couple,Married or pacsed couple,144469.64,66779.867
Married or pacsed couple,,53219.371,
Married or pacsed couple,Married or pacsed couple,44999.273,30308.977
Married or pacsed couple,Married or pacsed couple,54739.922,48474.848
Married or pacsed couple,Married or pacsed couple,15238.537,16583.5
Married or pacsed couple,Isolated parent,64503.945,68524.922
Isolated parent,Isolated parent,20893.461,21648.563
Married or pacsed couple,Married or pacsed couple,35562.969,70864.914
Married or pacsed couple,Married or pacsed couple,86736.563,60902.57
Married or pacsed couple,Married or pacsed couple,57781.027,35604.016
Married or pacsed couple,Married or pacsed couple,64503.945,63609.352
